question,mode,route,cold_ms,warm_avg_ms,warm_median_ms,warm_p95_ms,top_warm_stage,validation_ok
PS5 ราคาเท่าไหร่,pipeline:deterministic_calculator_fast,service_fee/service_fee_query,1326.6,161.98,162.4,165.8,candidate_decisions,True
PC ราคาเท่าไหร่,pipeline:deterministic_calculator_fast,service_fee/service_fee_query,160.8,159.3,158.4,168.4,candidate_decisions,True
นักศึกษาเล่น VR 30 นาทีเท่าไหร่,pipeline:deterministic_calculator_fast,service_fee/service_fee_query,201.5,176.32,177.6,179.7,candidate_decisions,True
Tekken 8 ราคาเท่าไหร่,pipeline:structured_service_fee_by_game,service_fee/service_fee_query,900.1,307.42,312.7,314.8,candidate_decisions,True
PS5 มีเกมอะไรกับราคาเท่าไหร่,pipeline:multi_question_splitter,multi_question/multi_question_split,368.9,324.76,324.7,329.9,multi_question_children_total,True
Tekken 8 ปุ่มอะไร แล้ว PC ราคาเท่าไหร่,pipeline:multi_question_splitter,multi_question/multi_question_split,414.2,384.86,385.7,392.1,multi_question_children_total,True
Naruto เล่นยังไง,pipeline:structured_game_detail,games/game_detail_lookup,334.2,310.18,308.2,324.7,structured_tool_execution,True
