question,mode,route,cold_ms,warm_avg_ms,warm_median_ms,warm_p95_ms,top_warm_stage,validation_ok
อาชีพที่เกี่ยวข้องกับกีฬาอีสปอร์ตมีอะไรบ้าง,pipeline:hybrid_guarded_rerank,knowledge/count,5123.0,2366.3,2366.3,2366.3,rag_llm_composer,True
ประวัติอีสปอร์ตเริ่มต้นอย่างไร,pipeline:hybrid_guarded_rerank,knowledge/how_to,2533.7,2057.5,2057.5,2057.5,rag_llm_composer,True
ข่าวกิจกรรมล่าสุดของ PSU Esports Studio มีอะไรบ้าง,pipeline:hybrid_guarded_rerank,events_news/news_lookup,3160.9,2272.1,2272.1,2272.1,rag_llm_composer,True
Overcooked 2 ช่วยพัฒนาทักษะอะไรบ้าง,pipeline:structured_game_detail,games/game_detail_lookup,698.5,658.9,658.9,658.9,structured_tool_execution,True
สรุปข้อมูลเกี่ยวกับ PSU Esports Studio ทั้งหมด,pipeline:hybrid_guarded_rerank,knowledge/knowledge_lookup,3044.6,2246.9,2246.9,2246.9,rag_llm_composer,True
