question,mode,route,cold_ms,warm_avg_ms,warm_median_ms,warm_p95_ms,top_warm_stage,validation_ok
อาชีพที่เกี่ยวข้องกับกีฬาอีสปอร์ตมีอะไรบ้าง,pipeline:no_answer,knowledge/count,7737.3,3259.5,3259.5,3259.5,rag_llm_composer,True
ประวัติอีสปอร์ตเริ่มต้นอย่างไร,pipeline:no_answer,knowledge/how_to,562.2,548.0,548.0,548.0,hybrid_retrieval,True
ข่าวกิจกรรมล่าสุดของ PSU Esports Studio มีอะไรบ้าง,pipeline:hybrid_guarded_rerank,events_news/news_lookup,1023.6,557.9,557.9,557.9,hybrid_retrieval,True
Overcooked 2 ช่วยพัฒนาทักษะอะไรบ้าง,pipeline:structured_game_detail,games/game_detail_lookup,714.0,617.1,617.1,617.1,structured_tool_execution,True
สรุปข้อมูลเกี่ยวกับ PSU Esports Studio ทั้งหมด,pipeline:no_answer,knowledge/knowledge_lookup,740.2,705.7,705.7,705.7,vector_retrieval,True
