question,mode,route,cold_ms,warm_avg_ms,warm_median_ms,warm_p95_ms,top_warm_stage,validation_ok
PS5 ราคาเท่าไหร่,pipeline:deterministic_calculator_fast,service_fee/service_fee_query,1361.6,185.87,174.1,213.0,candidate_decisions,True
PC ราคาเท่าไหร่,pipeline:deterministic_calculator_fast,service_fee/service_fee_query,171.7,164.03,166.1,176.4,candidate_decisions,True
นักศึกษาเล่น VR 30 นาทีเท่าไหร่,pipeline:deterministic_calculator_fast,service_fee/service_fee_query,188.4,183.47,181.7,190.5,question_frame,True
Tekken 8 ราคาเท่าไหร่,pipeline:structured_service_fee_by_game,service_fee/service_fee_query,980.0,295.67,290.5,315.1,candidate_decisions,True
PS5 มีเกมอะไรกับราคาเท่าไหร่,pipeline:multi_question_splitter,multi_question/multi_question_split,393.7,339.47,342.2,355.4,multi_question_children_total,True
Tekken 8 ปุ่มอะไร แล้ว PC ราคาเท่าไหร่,pipeline:multi_question_splitter,multi_question/multi_question_split,412.2,396.27,393.9,409.1,multi_question_children_total,True
Naruto เล่นยังไง,pipeline:structured_game_detail,games/game_detail_lookup,333.3,326.03,336.7,337.3,structured_tool_execution,True
